dataset,paper_recall@10,paper_recall@20,paper_ndcg@10,paper_ndcg@20,restored_recall@10_mean,restored_recall@10_std,restored_recall@10_mean_pm,restored_recall@20_mean,restored_recall@20_std,restored_recall@20_mean_pm,restored_ndcg@10_mean,restored_ndcg@10_std,restored_ndcg@10_mean_pm,restored_ndcg@20_mean,restored_ndcg@20_std,restored_ndcg@20_mean_pm,adapter_recall@10_mean,adapter_recall@10_std,adapter_recall@10_mean_pm,adapter_recall@20_mean,adapter_recall@20_std,adapter_recall@20_mean_pm,adapter_ndcg@10_mean,adapter_ndcg@10_std,adapter_ndcg@10_mean_pm,adapter_ndcg@20_mean,adapter_ndcg@20_std,adapter_ndcg@20_mean_pm,delta_recall@10_percent,delta_recall@20_percent,delta_ndcg@10_percent,delta_ndcg@20_percent,p_recall@10_welch,p_recall@10_student,p_recall@20_welch,p_recall@20_student,p_ndcg@10_welch,p_ndcg@10_student,p_ndcg@20_welch,p_ndcg@20_student
baby,0.0564,0.0883,0.0301,0.0383,0.0531,0.0,0.0531 ± 0.0000,0.0849,0.0,0.0849 ± 0.0000,0.0284,0.0,0.0284 ± 0.0000,0.0366,0.0,0.0366 ± 0.0000,0.05313000000000001,0.0019356595201062037,0.0531 ± 0.0019,0.08406,0.002175724655782018,0.0841 ± 0.0022,0.02839,0.0010681760154581264,0.0284 ± 0.0011,0.03633,0.0011225467077636958,0.0363 ± 0.0011,0.056497175141260236,-0.9893992932862278,-0.03521126760564458,-0.7377049180327853,nan,nan,nan,nan,nan,nan,nan,nan
clothing,,,,,0.0425,0.0,0.0425 ± 0.0000,0.0626,0.0,0.0626 ± 0.0000,0.023,0.0,0.0230 ± 0.0000,0.0281,0.0,0.0281 ± 0.0000,0.04425,0.0006900080514828141,0.0442 ± 0.0007,0.06614,0.0008643558937793532,0.0661 ± 0.0009,0.02417,0.0005735852159879998,0.0242 ± 0.0006,0.02973,0.0005850925852660699,0.0297 ± 0.0006,4.117647058823517,5.6549520766773185,5.086956521739134,5.80071174377224,nan,nan,nan,nan,nan,nan,nan,nan
electronics,0.0437,0.0648,0.0247,0.0302,0.0437,0.0,0.0437 ± 0.0000,0.064,0.0,0.0640 ± 0.0000,0.0247,0.0,0.0247 ± 0.0000,0.03,0.0,0.0300 ± 0.0000,0.04564000000000001,0.00027162065049951155,0.0456 ± 0.0003,0.06672999999999998,0.0004547282460742665,0.0667 ± 0.0005,0.025769999999999998,0.00017029386365926378,0.0258 ± 0.0002,0.03125,0.00019002923751652365,0.0312 ± 0.0002,4.439359267734563,4.2656249999999725,4.331983805668008,4.1666666666666705,nan,nan,nan,nan,nan,nan,nan,nan
sports,0.0656,0.098,0.0355,0.0438,0.063,0.0,0.0630 ± 0.0000,0.0963,0.0,0.0963 ± 0.0000,0.0343,0.0,0.0343 ± 0.0000,0.0429,0.0,0.0429 ± 0.0000,0.06749,0.0009267026371915513,0.0675 ± 0.0009,0.10188,0.0008978987817244348,0.1019 ± 0.0009,0.037040000000000003,0.0005337498373666159,0.0370 ± 0.0005,0.0459,0.0004714045207910326,0.0459 ± 0.0005,7.126984126984118,5.794392523364488,7.988338192419844,6.993006993006999,nan,nan,nan,nan,nan,nan,nan,nan
