dataset,recall@10,recall@20,ndcg@10,ndcg@20,job,log_file
baby,0.0531,0.0849,0.0284,0.0366,bm3_baby_L1_R0.1_D0.3_M0-14041673,bm3_baby_L1_R0.1_D0.3_M0-14041673.err
sports,0.063,0.0963,0.0343,0.0429,bm3_sports_L1_R0.01_D0.5_M0-14041749,bm3_sports_L1_R0.01_D0.5_M0-14041749.err
clothing,0.0425,0.0626,0.023,0.0281,bm3_clothing_L1_R0.01_D0.3_M0-14653479,bm3_clothing_L1_R0.01_D0.3_M0-14653479.err
elec,0.0437,0.064,0.0247,0.03,bm3_elec_L2_R0.1_D0.5_M0-14041725,bm3_elec_L2_R0.1_D0.5_M0-14041725.err
